Data Point (#),Corr Factor (ND),Length Scale (in),AmbPress (psia),AmbTemp (R),Density (slug/ft3),Viscosity (slug/ft s),Motor Speed (RPM),Angle of Attack (deg),Corrected q (dpsi),Avg Velocity (ft/s),Reynolds number (ND),Axial Force (Lbf),Normal Force (Lbf),Pitching Mom (in-Lbf)
1.00000000000,0.95000000000,1.00000000000,14.18441200000,530.37000000000,0.00224428287,0.00000038023,0.00000000000,-6.13419659650,0.00016214923,4.56157588959,2243.67480468750,-0.03277488728,-0.17599123920,-0.69073112919
2.00000000000,0.95000000000,1.00000000000,14.18441200000,530.37000000000,0.00224428287,0.00000038023,0.00000000000,-3.94109695344,0.00016147780,4.55212163925,2239.02465820313,-0.01980102821,-0.17688621465,-0.69111913720
3.00000000000,0.95000000000,1.00000000000,14.18441200000,530.37000000000,0.00224428287,0.00000038023,0.00000000000,-1.95563894741,0.00013669901,4.18832254410,2060.08496093750,-0.00929815593,-0.17799610105,-0.69047839751
4.00000000000,0.95000000000,1.00000000000,14.18441200000,530.37000000000,0.00224428287,0.00000038023,0.00000000000,0.02568396719,0.00015728939,4.49269723892,2209.79589843750,0.00530594827,-0.17626798052,-0.69010605163
5.00000000000,0.95000000000,1.00000000000,14.18441200000,530.37000000000,0.00224428287,0.00000038023,0.00000000000,1.95533870975,0.00015732136,4.49315404892,2210.02050781250,0.01967781337,-0.17701552884,-0.68733176002
6.00000000000,0.95000000000,1.00000000000,14.18441200000,530.37000000000,0.00224428287,0.00000038023,0.00000000000,4.17443620483,0.00015513656,4.46184539795,2194.62084960938,0.03240872642,-0.17624774134,-0.68444368518
7.00000000000,0.95000000000,1.00000000000,14.18441200000,530.37000000000,0.00224428287,0.00000038023,0.00000000000,6.01182245524,0.00014554477,4.32171154022,2125.69409179688,0.04624355370,-0.17489010623,-0.68243056231
8.00000000000,0.95000000000,1.00000000000,14.18441200000,530.37000000000,0.00224428287,0.00000038023,0.00000000000,8.04432224391,0.00016228245,4.56344938278,2244.59619140625,0.07514300339,-0.17388351221,-0.67999955698
9.00000000000,0.95000000000,1.00000000000,14.18441200000,530.37000000000,0.00224428287,0.00000038023,0.00000000000,10.03129508542,0.00016158971,4.55369853973,2239.80029296875,0.08154342091,-0.17340984371,-0.67212385700
10.00000000000,0.95000000000,1.00000000000,14.18441200000,530.37000000000,0.00224428287,0.00000038023,0.00000000000,12.00003531259,0.00014867809,4.36798286438,2148.45336914063,0.10022467714,-0.17234362507,-0.66834409924
11.00000000000,0.95000000000,1.00000000000,14.18441200000,530.37000000000,0.00224428287,0.00000038023,0.00000000000,14.00117391283,0.00016663073,4.62418270111,2274.46875000000,0.12333316455,-0.17010564992,-0.66044412297
12.00000000000,0.95000000000,1.00000000000,14.18441200000,530.37000000000,0.00224428287,0.00000038023,0.00000000000,15.93863483458,0.00016356668,4.58147001266,2253.45996093750,0.13846086249,-0.16797666036,-0.65218398130
18.00000000000,0.95000000000,1.00000000000,14.18441200000,532.17000000000,0.00223669186,0.00000038123,0.00000000000,18.03007673500,-0.00004521997,2.41300535202,1179.76513671875,0.14111476797,-0.15967736922,-0.63668163560
17.00000000000,0.95000000000,1.00000000000,14.18441200000,532.17000000000,0.00223669186,0.00000038123,0.00000000000,20.10043376330,-0.00005302129,2.61287307739,1277.48437500000,0.15380122529,-0.15595360725,-0.62888701887
15.00000000000,0.95000000000,1.00000000000,14.18441200000,532.17000000000,0.00223669186,0.00000038123,0.00000000000,22.03935493186,-0.00006731306,2.94403409958,1439.39538574219,0.16626883781,-0.15430229032,-0.61962529484
16.00000000000,0.95000000000,1.00000000000,14.18441200000,532.17000000000,0.00223669186,0.00000038123,0.00000000000,24.02312068925,-0.00006205889,2.82680058479,1382.07775878906,0.17770020438,-0.15052467642,-0.61028001124
14.00000000000,0.95000000000,1.00000000000,14.18441200000,532.17000000000,0.00223669186,0.00000038123,0.00000000000,26.25710724288,-0.00006024178,2.78510808945,1361.69348144531,0.19324200968,-0.14629728957,-0.59860046770
13.00000000000,0.95000000000,1.00000000000,14.18441200000,532.17000000000,0.00223669186,0.00000038123,0.00000000000,27.90773202090,-0.00004395705,2.37907099724,1163.17395019531,0.19948215051,-0.14315890410,-0.59042385384